Maximale erfüllbare Wünsche: 
1.	541
2.	127
3.	58

Zuordnung:  (G = Geschenk, P = Person, W = Wunsch)
G 	P 	W 	|	P 	G 	W
989	943	1	|	989	107	1
990	985	-	|	990	911	3
991	188	1	|	991	79	1
992	992	-	|	992	992	-
993	993	-	|	993	993	-
994	27	1	|	994	759	2
995	999	-	|	995	823	2
996	804	1	|	996	391	1
997	71	2	|	997	764	1
998	266	1	|	998	555	1
999	242	1	|	999	995	-
1000	253	1	|	1000	794	1
